,Heart Rate,Time
959,54,02:04:06
960,54,02:04:21
961,53,02:04:31
962,53,02:04:46
963,53,02:04:51
964,52,02:05:06
965,53,02:05:11
966,54,02:05:16
967,53,02:05:21
968,53,02:05:26
969,52,02:05:31
970,54,02:05:46
971,54,02:05:48
972,53,02:05:53
973,56,02:05:58
974,57,02:06:03
975,55,02:06:08
976,54,02:06:13
977,55,02:06:28
978,54,02:06:43
979,54,02:06:48
980,55,02:06:53
981,54,02:07:03
982,56,02:07:08
983,57,02:07:13
984,55,02:07:18
985,56,02:07:23
986,56,02:07:33
987,56,02:07:43
988,56,02:07:58
989,55,02:08:13
990,54,02:08:18
991,55,02:08:23
992,54,02:08:33
993,55,02:08:38
994,57,02:08:43
995,60,02:08:48
996,59,02:08:58
997,57,02:09:03
998,55,02:09:10
999,55,02:09:25
1000,56,02:09:40
1001,55,02:09:50
1002,54,02:09:55
1003,55,02:10:00
1004,55,02:10:10
1005,57,02:10:15
1006,56,02:10:20
1007,55,02:10:25
1008,56,02:10:35
1009,55,02:10:50
1010,58,02:10:55
1011,57,02:11:00
1012,55,02:11:05
1013,55,02:11:15
1014,56,02:11:20
1015,55,02:11:30
1016,54,02:11:35
1017,54,02:11:50
1018,57,02:11:55
1019,62,02:12:00
1020,61,02:12:05
1021,57,02:12:10
1022,56,02:12:15
1023,55,02:12:20
1024,54,02:12:35
1025,54,02:12:37
1026,58,02:12:42
1027,60,02:12:47
1028,59,02:12:52
1029,56,02:12:57
1030,55,02:13:02
1031,54,02:13:17
1032,56,02:13:22
1033,56,02:13:37
1034,56,02:13:42
1035,57,02:13:52
1036,54,02:14:02
1037,54,02:14:17
1038,55,02:14:27
1039,54,02:14:32
1040,53,02:14:42
1041,53,02:14:47
1042,53,02:15:02
1043,53,02:15:17
1044,53,02:15:27
1045,53,02:15:37
1046,53,02:15:52
1047,53,02:16:02
1048,54,02:16:17
1049,54,02:16:22
1050,54,02:16:37
1051,54,02:16:52
1052,54,02:16:54
1053,54,02:17:09
1054,54,02:17:24
1055,53,02:17:34
1056,52,02:17:49
1057,51,02:17:59
1058,51,02:18:09
1059,50,02:18:19
1060,49,02:18:24
1061,49,02:18:39
1062,50,02:18:44
1063,49,02:18:54
1064,49,02:18:59
1065,49,02:19:14
1066,48,02:19:19
1067,48,02:19:24
1068,48,02:19:39
1069,49,02:19:44
1070,49,02:19:59
1071,49,02:20:09
1072,51,02:20:24
1073,51,02:20:34
1074,50,02:20:39
1075,50,02:20:49
1076,50,02:20:54
1077,49,02:20:59
1078,49,02:21:04
1079,49,02:21:12
1080,49,02:21:27
1081,49,02:21:42
1082,49,02:21:52
1083,49,02:22:02
1084,50,02:22:07
1085,49,02:22:12
1086,49,02:22:27
1087,49,02:22:37
1088,49,02:22:52
1089,48,02:22:57
1090,48,02:23:12
1091,49,02:23:22
1092,49,02:23:37
1093,49,02:23:52
1094,48,02:24:02
1095,49,02:24:07
1096,49,02:24:12
1097,49,02:24:22
1098,48,02:24:27
1099,48,02:24:42
1100,49,02:24:57
1101,49,02:25:02
1102,49,02:25:07
1103,49,02:25:22
1104,48,02:25:27
1105,48,02:25:42
1106,48,02:25:44
1107,48,02:25:49
1108,48,02:25:54
1109,48,02:25:59
1110,48,02:26:04
1111,48,02:26:09
1112,48,02:26:14
1113,48,02:26:29
1114,49,02:26:39
1115,49,02:26:54
1116,49,02:26:59
1117,48,02:27:04
1118,48,02:27:19
1119,48,02:27:34
1120,48,02:27:49
1121,48,02:28:04
1122,47,02:28:19
1123,48,02:28:24
1124,47,02:28:34
1125,47,02:28:49
1126,48,02:28:54
1127,49,02:29:09
1128,49,02:29:24
1129,49,02:29:29
1130,51,02:29:44
1131,50,02:29:54
1132,49,02:30:04
1133,49,02:30:12
1134,50,02:30:27
1135,49,02:30:32
1136,50,02:30:37
1137,49,02:30:42
1138,49,02:30:47
1139,48,02:30:52
1140,49,02:31:02
1141,50,02:31:07
1142,49,02:31:22
1143,50,02:31:27
1144,49,02:31:32
1145,50,02:31:42
1146,50,02:31:57
1147,50,02:32:07
1148,50,02:32:12
1149,50,02:32:27
1150,52,02:32:37
1151,52,02:32:42
1152,52,02:32:47
1153,51,02:32:52
1154,50,02:33:02
1155,50,02:33:07
1156,49,02:33:12
1157,50,02:33:17
1158,50,02:33:32
1159,50,02:33:47
1160,50,02:33:49
1161,51,02:33:59
1162,51,02:34:14
1163,50,02:34:19
1164,50,02:34:34
1165,50,02:34:49
1166,50,02:35:04
1167,50,02:35:19
1168,51,02:35:24
1169,50,02:35:34
1170,50,02:35:49
1171,50,02:36:04
1172,49,02:36:14
1173,50,02:36:19
1174,49,02:36:24
1175,49,02:36:39
1176,49,02:36:54
1177,49,02:37:09
1178,51,02:37:14
1179,50,02:37:19
1180,49,02:37:34
1181,51,02:37:44
1182,52,02:37:49
1183,52,02:38:04
1184,51,02:38:09
1185,51,02:38:14
1186,51,02:38:19
1187,51,02:38:26
1188,50,02:38:31
1189,49,02:38:36
1190,49,02:38:51
1191,49,02:39:06
1192,49,02:39:21
1193,50,02:39:36
1194,50,02:39:51
1195,49,02:39:56
1196,49,02:40:11
1197,49,02:40:26
1198,49,02:40:41
1199,49,02:40:46
1200,48,02:40:51
1201,48,02:41:01
1202,49,02:41:16
1203,48,02:41:21
1204,47,02:41:26
1205,47,02:41:36
1206,47,02:41:51
1207,46,02:41:56
1208,47,02:42:01
1209,48,02:42:16
1210,48,02:42:21
1211,48,02:42:26
1212,49,02:42:31
1213,48,02:42:36
1214,47,02:42:43
1215,48,02:42:58
1216,48,02:43:08
1217,48,02:43:18
1218,48,02:43:23
1219,48,02:43:33
1220,48,02:43:48
1221,48,02:43:53
1222,48,02:43:58
1223,49,02:44:13
1224,50,02:44:23
1225,50,02:44:38
1226,49,02:44:48
1227,50,02:44:53
1228,49,02:44:58
1229,50,02:45:03
1230,50,02:45:13
1231,50,02:45:23
1232,49,02:45:28
1233,49,02:45:33
1234,48,02:45:38
1235,48,02:45:43
1236,48,02:45:48
1237,49,02:46:03
1238,49,02:46:18
1239,49,02:46:33
1240,49,02:46:43
1241,49,02:46:51
1242,48,02:46:56
1243,48,02:47:11
1244,47,02:47:16
1245,47,02:47:31
1246,48,02:47:41
1247,49,02:47:46
1248,48,02:47:51
1249,48,02:48:06
1250,49,02:48:11
1251,50,02:48:21
1252,50,02:48:36
1253,52,02:48:41
1254,53,02:48:46
1255,52,02:48:51
1256,54,02:48:56
1257,53,02:49:01
1258,53,02:49:16
1259,52,02:49:26
1260,53,02:49:36
1261,53,02:49:51
1262,53,02:50:06
1263,53,02:50:21
1264,54,02:50:31
1265,54,02:50:46
1266,54,02:51:01
1267,53,02:51:11
1268,54,02:51:18
1269,54,02:51:33
1270,53,02:51:43
1271,53,02:51:58
1272,55,02:52:13
1273,54,02:52:28
1274,53,02:52:33
1275,53,02:52:48
1276,54,02:52:53
1277,53,02:53:08
1278,53,02:53:23
1279,53,02:53:38
1280,53,02:53:53
1281,53,02:54:08
1282,54,02:54:13
1283,53,02:54:28
1284,52,02:54:38
1285,54,02:54:53
1286,53,02:55:03
1287,54,02:55:08
1288,54,02:55:23
1289,53,02:55:33
1290,52,02:55:43
1291,52,02:55:58
1292,51,02:56:13
1293,52,02:56:23
1294,53,02:56:28
1295,53,02:56:36
1296,54,02:56:51
1297,53,02:57:01
1298,54,02:57:06
1299,53,02:57:11
1300,53,02:57:26
1301,53,02:57:41
1302,52,02:57:46
1303,52,02:58:01
1304,53,02:58:11
1305,54,02:58:16
1306,53,02:58:21
1307,54,02:58:36
1308,53,02:58:46
1309,54,02:58:56
1310,54,02:59:11
1311,53,02:59:26
1312,52,02:59:36
1313,53,02:59:41
1314,54,02:59:51
1315,53,02:59:56
1316,54,03:00:11
1317,53,03:00:16
1318,54,03:00:31
1319,54,03:00:46
1320,53,03:00:56
1321,54,03:01:01
1322,53,03:01:08
1323,53,03:01:23
1324,52,03:01:28
1325,53,03:01:33
1326,53,03:01:48
1327,54,03:01:58
1328,53,03:02:03
1329,54,03:02:08
1330,53,03:02:18
1331,53,03:02:33
1332,54,03:02:38
1333,53,03:02:48
1334,52,03:03:03
1335,54,03:03:13
1336,53,03:03:23
1337,52,03:03:38
1338,53,03:03:53
1339,53,03:04:08
1340,54,03:04:23
1341,53,03:04:38
1342,53,03:04:53
1343,52,03:05:03
1344,53,03:05:08
1345,53,03:05:23
1346,53,03:05:38
1347,53,03:05:53
1348,54,03:06:03
1349,54,03:06:11
1350,53,03:06:21
1351,54,03:06:31
1352,53,03:06:36
1353,52,03:06:51
1354,53,03:07:01
1355,52,03:07:16
1356,54,03:07:26
1357,53,03:07:41
1358,54,03:07:46
